AGRICULTURE,,,,,,,,,,,,,,,,,,,,
Table 8.5: All India Index Numbers of Area of Principal Crops,,,,,,,,,,,,,,,,,,,,
(T.E. : 2007-08=100),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Area ('000 Hect.),
Crop,Weights ,T.E.          (2007-08),2007-08,,2008-09,,2009-10,,2010-11,,2011-12,,2012-13,,2013-14,,2014-15,,2015-16*,
,,Area,Area,Index,Area,Index,Area,Index,Area,Index,Area,Index,Area,Index,Area,Index,Area,Index,Area,Index
Rice ,16.89,43795.93,43914.40,100.27,45537.40,103.98,41918.40,95.71,42862.45,97.87,44006.25,100.48,42753.87,97.62,44136.00,100.78,44110.60,100.72,43388.08,99.07
Wheat,17.99,27505.57,28038.60,101.94,27752.40,100.90,28457.42,103.46,29068.59,105.68,29864.77,108.58,30003.34,109.08,30473.20,110.79,31465.60,114.40,30227.60,109.90
Jowar,1.59,8301.27,7764.00,93.53,7530.90,90.72,7787.20,93.81,7381.75,88.92,6245.08,75.23,6214.36,74.86,5793.40,69.79,6161.40,74.22,5653.40,68.10
Bajra,1.64,9553.47,9571.30,100.19,8752.50,91.62,8904.23,93.20,9612.31,100.62,8776.70,91.87,7297.42,76.39,7810.80,81.76,7318.00,76.60,6983.35,73.10
Maize,2.94,7866.53,8117.30,103.19,8173.80,103.91,8261.60,105.02,8553.17,108.73,8781.93,111.64,8672.63,110.25,9066.20,115.25,9185.40,116.77,8691.24,110.48
Ragi,0.36,1366.13,1387.10,101.53,1381.40,101.12,1268.00,92.82,1286.15,94.15,1175.78,86.07,1128.02,82.57,1193.70,87.38,1208.10,88.43,1258.91,92.15
Small Millets,0.08,1037.90,1039.20,100.13,905.20,87.21,830.50,80.02,799.92,77.07,798.78,76.96,754.09,72.66,682.30,65.74,589.60,56.81,598.48,57.66
Barley,0.25,626.23,602.60,96.23,705.70,112.69,623.80,99.61,705.39,112.64,643.40,102.74,695.12,111.00,673.50,107.55,707.50,112.98,589.81,94.18
Coarse Cereals,6.86,28751.53,28481.50,99.85,27449.50,97.89,27675.33,98.47,28338.69,101.21,26421.67,96.40,24761.64,92.09,25219.90,94.38,25170.00,87.54,23775.19,82.69
Cereals,41.73,100053.03,100434.50,100.92,100739.30,101.65,98051.15,99.50,100269.73,101.79,100292.69,103.30,97518.86,101.65,99829.10,104.04,100746.20,100.69,97390.86,97.34
Tur,1.69,3622.70,3725.80,102.85,3377.90,93.24,3465.72,95.67,4366.69,120.54,4007.37,110.62,3892.86,107.46,3904.90,107.79,3853.50,106.37,3745.85,103.40
Gram ,3.47,7321.33,7543.70,103.04,7892.50,107.80,8169.15,111.58,9185.59,125.46,8299.06,113.35,8521.79,116.40,9927.40,135.60,8251.10,112.70,8349.07,114.04
Moong,0.90,3343.30,3726.70,111.47,2842.67,85.03,3070.06,91.83,3508.19,104.93,3387.10,101.31,2718.72,81.32,3382.90,101.18,3019.00,90.30,3832.11,114.62
Urad,1.11,3097.97,3188.40,102.92,2669.60,86.17,2958.10,95.49,3247.70,104.83,3215.90,103.81,3132.10,101.10,3063.50,98.89,3246.10,104.78,4019.10,129.73
Lentil,0.55,1427.17,1305.60,91.48,1375.95,96.41,1479.81,103.69,1597.44,111.93,1562.36,109.47,1423.40,99.74,1341.20,93.98,1468.80,102.92,770.04,53.96
Other Pulses,1.20,4259.53,4142.80,97.26,3935.54,92.39,4139.50,97.18,4496.05,105.55,3990.40,93.68,3567.90,83.76,3593.00,84.35,3714.10,87.19,4543.26,106.66
Total Pulses,8.92,23072.00,23633.00,102.34,22094.16,97.29,23282.34,102.15,26401.66,116.39,24462.20,107.55,23256.78,103.85,25212.90,112.83,23552.60,102.08,25259.43,109.48
Foodgrains,50.66,123125.03,124067.50,101.17,122833.46,100.88,121333.48,99.97,126671.39,104.36,124754.89,104.05,120775.63,102.04,125042.00,105.59,124298.80,100.95,122650.29,99.61
Groundnut,4.11,6214.37,6292.00,101.25,6164.90,99.20,5477.50,88.14,5856.12,94.24,5263.72,84.70,4721.05,75.97,5505.20,88.59,4768.70,76.74,4555.04,73.30
Castorseed,0.48,759.83,786.90,103.56,866.20,114.00,734.90,96.72,880.34,115.86,1470.88,193.58,1233.59,162.35,1063.20,139.93,1089.30,143.36,1037.27,136.51
Nigerseed,0.06,430.33,407.60,94.72,393.40,91.42,375.50,87.26,371.00,86.21,364.40,84.68,310.41,72.13,298.70,69.41,232.10,53.93,252.50,58.67
Sesamum ,0.47,1741.83,1799.10,103.29,1809.10,103.86,1942.10,111.50,2083.20,119.60,1901.55,109.17,1705.76,97.93,1678.90,96.39,1746.10,100.24,1946.72,111.76
Rapeseed & Mustard ,3.60,6630.67,5825.50,87.86,6298.10,94.98,5588.00,84.28,6900.48,104.07,5893.51,88.88,6362.59,95.96,6645.70,100.23,5799.10,87.46,5761.88,86.90
Linseed,0.09,447.07,467.90,104.66,407.90,91.24,342.00,76.50,359.23,80.35,322.64,72.17,296.27,66.27,293.10,65.56,285.50,63.86,297.77,66.61
Safflower,0.10,353.97,320.30,90.49,294.60,83.23,287.80,81.31,243.85,68.89,250.41,70.75,183.51,51.84,177.80,50.23,174.90,49.41,144.16,40.73
Sunflower,0.78,2138.67,1911.60,89.38,1812.80,84.76,1476.60,69.04,928.98,43.44,731.86,34.22,830.51,38.83,671.50,31.40,589.80,27.58,474.29,22.18
Soyabean ,3.56,8305.97,8881.70,106.93,9510.80,114.51,9734.70,117.20,9601.04,115.59,10109.12,121.71,10840.73,130.52,11716.40,141.06,10910.80,131.36,11664.86,140.44
Total Oilseeds,13.25,27022.70,26692.60,98.51,27557.80,101.82,25959.10,94.79,27224.22,101.02,26308.09,97.46,26484.42,97.54,28050.50,104.10,25596.30,94.72,26134.49,96.71
Sugarcane,9.89,4802.57,5055.20,105.26,4415.40,91.94,4174.60,86.92,4884.78,101.71,5037.66,104.90,4998.94,104.09,4993.30,103.97,5066.80,105.50,4953.40,103.14
Cotton ,4.41,9078.43,9413.70,103.69,9406.70,103.62,10131.70,111.60,11235.00,123.75,12178.01,134.14,11977.00,131.93,11960.00,131.74,12819.00,141.20,11872.00,130.77
Jute ,0.66,788.93,814.10,103.19,785.60,99.58,811.20,102.82,773.60,98.06,809.02,102.55,776.67,98.45,756.00,95.83,749.80,95.04,730.79,92.63
Mesta,0.01,142.10,146.20,102.89,115.30,81.14,94.20,66.29,98.60,69.39,95.64,67.30,85.85,60.41,81.60,57.42,60.00,42.22,54.30,38.22
Coconut,1.19,1928.93,1903.20,98.67,1903.00,98.66,1895.00,98.24,1896.00,98.29,2071.00,107.37,2137.00,110.79,2140.00,110.94,1976.00,102.44,2094.00,108.56
Cotton seed,2.13,9078.43,9413.70,103.69,9406.70,103.62,10131.70,111.60,11235.00,123.75,12178.00,134.14,11977.00,131.93,11960.00,131.74,12819.00,141.20,11910.00,131.19
Sannhamp ,0.00,32.91,32.07,97.44,25.81,78.42,24.57,74.65,28.19,85.65,21.17,64.32,17.50,53.17,16.16,49.10,11.55,35.09,NA,NA
Potato,3.63,1479.63,1553.10,104.97,1828.30,123.56,1835.00,124.02,1863.00,125.91,1907.00,128.88,1992.00,134.63,1973.00,133.34,2076.00,140.31,2134.00,144.22
Tapioca ,0.82,250.77,253.50,101.09,280.00,111.66,232.00,92.52,221.00,88.13,227.00,90.52,207.00,82.55,228.00,90.92,208.00,82.95,204.00,81.35
Sweet potato   ,0.19,106.47,106.00,99.56,124.30,116.75,119.00,111.77,113.00,106.14,110.00,103.32,112.00,105.20,106.00,99.56,107.00,100.50,130.00,122.10
Onion ,1.51,689.47,704.40,102.17,834.20,120.99,756.00,109.65,1064.00,154.32,1087.00,157.66,1052.00,152.58,1204.00,174.63,1173.00,170.13,1225.00,177.67
Banana  ,3.20,477.77,532.50,111.46,709.00,148.40,770.00,161.17,830.00,173.72,797.00,166.82,776.00,162.42,803.00,168.07,822.00,172.05,846.00,177.07
Tobacco,0.41,363.13,348.10,95.86,390.48,107.53,442.99,121.99,490.15,134.98,466.03,128.34,426.06,117.33,455.90,125.55,455.53,125.44,NA,NA
Guar seed,0.62,3257.27,3472.60,106.61,3862.49,118.58,2995.20,91.95,3382.15,103.83,3449.36,105.90,5151.65,158.16,5962.51,183.05,5345.86,164.12,NA,NA
Black pepper ,0.22,234.40,197.00,84.04,238.70,101.83,196.00,83.62,184.00,78.50,200.00,85.32,125.00,53.33,124.00,52.90,129.00,55.03,129.00,55.03
Dry chillies ,1.29,741.00,805.80,108.74,779.10,105.14,767.00,103.51,792.00,106.88,805.00,108.64,794.00,107.15,775.00,104.59,761.00,102.70,789.00,106.48
Dry ginger ,0.27,106.93,104.10,97.35,108.60,101.56,108.00,101.00,149.00,139.34,155.00,144.95,136.00,127.18,133.00,124.38,142.00,132.79,165.00,154.30
Turmeric ,0.52,175.27,175.30,100.02,181.10,103.33,181.00,103.27,195.00,111.26,219.00,124.95,194.00,110.69,233.00,132.94,184.00,104.98,185.00,105.55
Arecanut  ,1.39,383.40,386.70,100.86,387.00,100.94,400.00,104.33,400.00,104.33,464.00,121.02,446.00,116.33,452.00,117.89,450.00,117.37,473.00,123.37
Cardamom ,0.10,91.93,81.80,88.98,92.00,100.07,90.00,97.90,87.00,94.63,89.00,96.81,92.00,100.07,93.00,101.16,100.00,108.77,91.00,98.98
Coriander,0.19,348.47,384.20,110.25,396.90,113.90,360.00,103.31,530.00,152.09,558.00,160.13,543.00,155.83,447.00,128.28,553.00,158.70,622.00,178.50
Garlic  ,0.69,166.40,205.10,123.26,166.20,99.88,165.00,99.16,201.00,120.79,242.00,145.43,248.00,149.04,231.00,138.82,262.00,157.45,261.00,156.85
Tea,0.28,567.37,557.05,98.18,557.05,98.18,557.05,98.18,557.05,98.18,557.05,98.18,557.10,98.19,557.10,98.19,566.66,99.88,566.66,99.88
Coffee,0.62,342.97,388.20,113.19,394.35,114.98,399.68,116.54,404.65,117.99,409.69,119.45,415.34,121.10,418.98,122.16,423.27,123.41,434.44,126.67
Rubber,1.87,616.07,635.40,103.14,661.98,107.45,686.52,111.43,711.56,115.50,734.78,119.27,757.52,122.96,778.40,126.35,795.14,129.07,811.00,131.64
Non Foodgrains,49.34,63273.72,64361.62,103.19,65608.06,106.10,64282.51,104.34,69549.95,114.03,71175.49,116.50,72479.05,116.16,74932.45,119.38,73651.90,116.40,66815.09,105.60
All Crops,100.00,186398.75,188429.12,102.16,188441.52,103.46,185615.99,102.13,196221.34,109.13,195930.38,110.19,193254.68,109.01,199974.45,112.39,197950.70,106.20,189465.38,101.65
"Note: (1) Data for Foodgrain, Oilseed and Commercial Crops are as per Fourth Advance Estimate for 2015-16. ",,,,,,,,,,,,,,,,,,,,
"(2) Data for Horticulture crops are as per Final Estimate for 2014-15 and 3rd Advance Estimate for 2015-16 released by Horticulture Division, DAC&FW.",,,,,,,,,,,,,,,,,,,,